,Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,title_overview,similarity_scores,similar_movies
0,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Shawshank Redemption,1994,A,142 min,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",80.0,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,"28,341,469","The Shawshank Redemption Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","[(0, 0.99999976), (532, 0.70702296), (763, 0.70188177), (391, 0.68108857), (267, 0.677529), (282, 0.6744362), (167, 0.6739683), (203, 0.67307293), (88, 0.65801036), (505, 0.65431154)]","[('The Shawshank Redemption', 'Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.'), ('The Blues Brothers', 'Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.'), ('This Is England', 'A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.'), ('Sling Blade', 'Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.'), ('Stand by Me', 'After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.'), ('Zerkalo', 'A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.'), ('Unforgiven', 'Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""'), ('Room', 'Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.'), ('Jagten', ""A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.""), ('Mystic River', 'The lives of three men who were childhood friends are shattered when one of them has a family tragedy.')]"
1,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather,1972,A,175 min,"Crime, Drama",9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,100.0,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,"134,966,411",The Godfather An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"[(1, 0.9999998), (3, 0.80469614), (412, 0.8000324), (238, 0.7922034), (953, 0.7791466), (40, 0.7775347), (172, 0.7746029), (294, 0.77392906), (974, 0.7722475), (560, 0.76852435)]","[('The Godfather', ""An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.""), ('The Godfather: Part II', 'The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.'), ('Kagemusha', ""A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.""), ('Munna Bhai M.B.B.S.', ""A gangster sets out to fulfill his father's dream of becoming a doctor.""), ('American Psycho', 'A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.'), ('American History X', 'A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.'), ('Ran', 'In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.'), ('Sanjuro', 'A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.'), ('The Godfather: Part III', 'Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.'), ('The Big Sleep', ""Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."")]"
2,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,"534,858,444","The Dark Knight When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","[(2, 0.9999999), (853, 0.82114685), (33, 0.8172605), (155, 0.81350625), (768, 0.79885256), (762, 0.78162205), (665, 0.7813777), (339, 0.76401854), (718, 0.7627039), (914, 0.7573785)]","[('The Dark Knight', 'When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.'), ('Dirty Harry', 'When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.'), ('Joker', 'In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.'), ('Batman Begins', 'After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.'), ('Lucky Number Slevin', ""A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.""), ('Death Note: Desu nôto', ""A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.""), ('Batman: Mask of the Phantasm', 'Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.'), ('Guardians of the Galaxy', 'A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.'), ('Scarface: The Shame of the Nation', 'An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.'), ('Sherlock Holmes', 'Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.')]"
3,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather: Part II,1974,A,202 min,"Crime, Drama",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,"57,300,000","The Godfather: Part II The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","[(3, 1.0000002), (1, 0.80469614), (664, 0.77557766), (15, 0.7635654), (776, 0.74768996), (71, 0.7476872), (953, 0.7451719), (974, 0.7361406), (710, 0.72593015), (238, 0.72415113)]","[('The Godfather: Part II', 'The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.'), ('The Godfather', ""An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.""), ('A Bronx Tale', 'A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.'), ('Goodfellas', 'The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.'), ('Kung fu', 'In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.'), ('Once Upon a Time in America', 'A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.'), ('American Psycho', 'A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.'), ('The Godfather: Part III', 'Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.'), ('Key Largo', ""A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.""), ('Munna Bhai M.B.B.S.', ""A gangster sets out to fulfill his father's dream of becoming a doctor."")]"
4,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",12 Angry Men,1957,U,96 min,"Crime, Drama",9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,"4,360,000",12 Angry Men A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"[(4, 1.0000001), (494, 0.7945222), (895, 0.791113), (968, 0.78688437), (800, 0.78515244), (263, 0.7835133), (818, 0.776436), (448, 0.7726635), (113, 0.7704455), (377, 0.7675406)]","[('12 Angry Men', 'A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.'), ('In Bruges', 'Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.'), ('Leviafan', ""In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.""), ('Falling Down', 'An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.'), ('Office Space', 'Three company workers who hate their jobs decide to rebel against their greedy boss.'), ('In the Name of the Father', ""A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.""), ('Philadelphia', 'When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.'), ('In a Lonely Place', 'A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.'), ('A Clockwork Orange', ""In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.""), ('Big Fish', ""A frustrated son tries to determine the fact from fiction in his dying father's life."")]"
5,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Return of the King,2003,U,201 min,"Action, Adventure, Drama",8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94.0,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,"377,845,905",The Lord of the Rings: The Return of the King Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"[(5, 1.0), (13, 0.8921175), (10, 0.822103), (564, 0.79476255), (473, 0.77219605), (609, 0.7700824), (226, 0.75300694), (43, 0.7470841), (840, 0.74483407), (16, 0.7425449)]","[('The Lord of the Rings: The Return of the King', ""Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.""), ('The Lord of the Rings: The Two Towers', ""While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.""), ('The Lord of the Rings: The Fellowship of the Ring', 'A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.'), ('The Adventures of Robin Hood', ""When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.""), ('Thor: Ragnarok', 'Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.'), ('The Hobbit: The Desolation of Smaug', 'The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.'), ('Harry Potter and the Deathly Hallows: Part 2', ""Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.""), ('The Lion King', 'Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.'), ('First Blood', 'A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.'), ('Star Wars: Episode V - The Empire Strikes Back', 'After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.')]"
6,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Pulp Fiction,1994,A,154 min,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",94.0,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,"107,928,762","Pulp Fiction The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","[(6, 1.0), (900, 0.8218774), (431, 0.8175607), (308, 0.81158805), (181, 0.8090822), (474, 0.8088505), (165, 0.8049319), (177, 0.8015779), (814, 0.8009391), (161, 0.79848355)]","[('Pulp Fiction', 'The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.'), ('Serbuan maut', 'A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.'), ('Per un pugno di dollari', 'A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.'), ('White Heat', 'A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.'), ('Yôjinbô', 'A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.'), ('Nightcrawler', 'When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.'), ('Casino', 'A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.'), ('Sholay', 'After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.'), ('Do lok tin si', 'This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.'), ('Lock, Stock and Two Smoking Barrels', 'A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.')]"
7,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Schindler's List,1993,A,195 min,"Biography, Drama, History",8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",94.0,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,"96,898,818","Schindler's List In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","[(7, 1.0000001), (93, 0.78771496), (445, 0.75921184), (38, 0.7575314), (192, 0.75642234), (83, 0.75415397), (661, 0.7379185), (649, 0.72816396), (179, 0.72082883), (182, 0.7196276)]","[(""Schindler's List"", 'In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.'), ('Inglourious Basterds', ""In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.""), ('Stalag 17', 'When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.'), ('The Pianist', 'A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.'), ('To Be or Not to Be', ""During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.""), ('The Great Dictator', ""Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.""), ('The Remains of the Day', 'A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.'), ('The Insider', 'A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.'), ('The Great Escape', 'Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.'), ('Judgment at Nuremberg', 'In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.')]"
8,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,74.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,"292,576,195",Inception A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"[(8, 1.0), (14, 0.8217735), (730, 0.79626894), (326, 0.78965366), (405, 0.78280944), (843, 0.7798214), (809, 0.7775779), (335, 0.7698926), (602, 0.7640266), (548, 0.7638025)]","[('Inception', 'A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.'), ('The Matrix', 'When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.'), ('Kingsman: The Secret Service', ""A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.""), ('Baby', ""An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.""), ('Akira', 'A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.'), ('Rupan sansei: Kariosutoro no shiro', ""A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.""), ('Donnie Brasco', 'An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.'), ('Special Chabbis', 'A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.'), ('Ang-ma-reul bo-at-da', 'A secret agent exacts revenge on a serial killer through a series of captures and releases.'), ('The Manchurian Candidate', 'A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.')]"
9,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Fight Club,1999,A,139 min,Drama,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",66.0,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,"37,030,102","Fight Club An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","[(9, 1.0), (900, 0.7694084), (256, 0.7672151), (800, 0.76634014), (428, 0.75491494), (572, 0.74811924), (933, 0.74299186), (845, 0.73978245), (17, 0.73715234), (307, 0.7369186)]","[('Fight Club', 'An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.'), ('Serbuan maut', 'A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.'), ('Underground', 'A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.'), ('Office Space', 'Three company workers who hate their jobs decide to rebel against their greedy boss.'), (""Who's Afraid of Virginia Woolf?"", 'A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.'), ('Forushande', 'While both participating in a production of ""Death of a Salesman,"" a teacher\'s wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife\'s traumatized objections.'), ('Synecdoche, New York', 'A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.'), ('Le locataire', 'A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.'), (""One Flew Over the Cuckoo's Nest"", 'A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.'), ('Ace in the Hole', 'A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.')]"
