,_id,similarity_scores
0,0,"[(0, 0.99999976), (532, 0.70702296), (763, 0.70188177), (391, 0.68108857), (267, 0.677529), (282, 0.6744362), (167, 0.6739683), (203, 0.67307293), (88, 0.65801036), (505, 0.65431154)]"
1,1,"[(1, 0.9999998), (3, 0.80469614), (412, 0.8000324), (238, 0.7922034), (953, 0.7791466), (40, 0.7775347), (172, 0.7746029), (294, 0.77392906), (974, 0.7722475), (560, 0.76852435)]"
2,2,"[(2, 0.9999999), (853, 0.82114685), (33, 0.8172605), (155, 0.81350625), (768, 0.79885256), (762, 0.78162205), (665, 0.7813777), (339, 0.76401854), (718, 0.7627039), (914, 0.7573785)]"
3,3,"[(3, 1.0000002), (1, 0.80469614), (664, 0.77557766), (15, 0.7635654), (776, 0.74768996), (71, 0.7476872), (953, 0.7451719), (974, 0.7361406), (710, 0.72593015), (238, 0.72415113)]"
4,4,"[(4, 1.0000001), (494, 0.7945222), (895, 0.791113), (968, 0.78688437), (800, 0.78515244), (263, 0.7835133), (818, 0.776436), (448, 0.7726635), (113, 0.7704455), (377, 0.7675406)]"
5,5,"[(5, 1.0), (13, 0.8921175), (10, 0.822103), (564, 0.79476255), (473, 0.77219605), (609, 0.7700824), (226, 0.75300694), (43, 0.7470841), (840, 0.74483407), (16, 0.7425449)]"
6,6,"[(6, 1.0), (900, 0.8218774), (431, 0.8175607), (308, 0.81158805), (181, 0.8090822), (474, 0.8088505), (165, 0.8049319), (177, 0.8015779), (814, 0.8009391), (161, 0.79848355)]"
7,7,"[(7, 1.0000001), (93, 0.78771496), (445, 0.75921184), (38, 0.7575314), (192, 0.75642234), (83, 0.75415397), (661, 0.7379185), (649, 0.72816396), (179, 0.72082883), (182, 0.7196276)]"
8,8,"[(8, 1.0), (14, 0.8217735), (730, 0.79626894), (326, 0.78965366), (405, 0.78280944), (843, 0.7798214), (809, 0.7775779), (335, 0.7698926), (602, 0.7640266), (548, 0.7638025)]"
9,9,"[(9, 1.0), (900, 0.7694084), (256, 0.7672151), (800, 0.76634014), (428, 0.75491494), (572, 0.74811924), (933, 0.74299186), (845, 0.73978245), (17, 0.73715234), (307, 0.7369186)]"
10,10,"[(10, 0.9999999), (5, 0.822103), (618, 0.80332464), (651, 0.7855249), (13, 0.78386915), (609, 0.78150034), (226, 0.75850135), (63, 0.75566083), (473, 0.74709636), (477, 0.7361662)]"
11,11,"[(11, 0.9999999), (974, 0.6996602), (532, 0.6837107), (779, 0.6805131), (167, 0.6761324), (970, 0.67456174), (269, 0.6719425), (810, 0.66572285), (896, 0.6588234), (484, 0.65498316)]"
12,12,"[(12, 0.9999999), (361, 0.81353945), (797, 0.79875624), (456, 0.7856538), (474, 0.7706978), (861, 0.7691667), (642, 0.76581764), (96, 0.76498556), (194, 0.7645519), (424, 0.75984204)]"
13,13,"[(13, 0.9999998), (5, 0.8921175), (609, 0.79103655), (10, 0.78386915), (564, 0.76564234), (477, 0.7429823), (618, 0.70687854), (473, 0.7027112), (109, 0.69661), (545, 0.6964183)]"
14,14,"[(14, 0.9999999), (8, 0.8217735), (934, 0.816597), (405, 0.80514586), (159, 0.80271983), (932, 0.79900944), (843, 0.79546547), (394, 0.79002553), (914, 0.78382033), (348, 0.7832854)]"
